State/UT Code,India/State/Union Territory #,Total population
1,Jammu & Kashmir,12548926
2,Himachal Pradesh,6856509
3,Punjab,27704236
4,Chandigarh,1054686
5,Uttarakhand,10116752
6,Haryana,25353081
7,Delhi,16753235
8,Rajasthan,68621012
9,Uttar Pradesh,199581477
10,Bihar,103804637
11,Sikkim,607688
12,Arunachal Pradesh,1382611
13,Nagaland,1980602
14,Manipur,2721756
15,Mizoram,1091014
16,Tripura,3671032
17,Meghalaya,2964007
18,Assam,31169272
19,West Bengal,91347736
20,Jharkhand,32966238
21,Orissa,41947358
22,Chhattisgarh,25540196
23,Madhya Pradesh,72597565
24,Gujarat,60383628
25,Daman & Diu,242911
26,Dadra & Nagar Haveli,342853
27,Maharashtra,112372972
28,Andhra Pradesh,84665533
29,Karnataka,61130704
30,Goa,1457723
31,Lakshadweep,64429
32,Kerala,33387677
33,Tamil Nadu,72138958
34,Puducherry,1244464
35,A & N Islands,379944